Country,gdp,Compute capacity,Human_Capital_Research,Knowledge_Tech_Output,AI technology diffusion,Development & Diffusion
United States of America,90026.5163005744,90.92,55.7680884842207,60.0089739747912,85.96,88.16
China,29333.3311051433,80.66,51.95980000157,60.7045203207846,77.74,74.67
Germany,75406.6888111618,56.98,61.0358307857179,49.6427325790188,74.1,66.24
Japan,55421.8797530311,50.49,53.4974238639373,48.2368007313953,71.0,66.13
United Kingdom of Great Britain and Northern Ireland,64606.4955066338,50.34,59.4418768183809,55.95892755174,75.9,68.46
India,11747.9160436011,48.5,34.7297305610884,37.8120906239051,61.15,54.85
Singapore,163353.990260152,41.99,63.3105116839504,53.1114641502743,69.59,64.15
Republic of Korea,63124.9152183625,40.81,66.9913727724671,51.845093733729,82.0,65.88
Israel,59716.9735387228,21.14,52.3128758181068,55.406377140269,86.51,64.66
Pakistan,6573.41613369925,9.99,15.8010922473939,20.5793170590475,48.02,36.95
Bangladesh,10153.7083791829,8.31,12.7634575331228,13.1681583703968,47.53,26.97
Nepal,6175.15897150244,6.9,13.9150196897035,13.2486955222002,35.55,22.5
Bhutan,19594.0028382994,3.29,,,38.28,28.24
Sri Lanka,17065.0298635432,3.29,19.201250844559,15.7132147915963,42.16,33.31
