Ranking,Country,Total Score,Policy Capacity,AI Infrastructure,Governance,Public Sector Adoption,Development & Diffusion,Resilience,Policy vision,Policy commitment,Compute capacity,Enabling technical infrastructure,Data quality,Governance principles,Regulatory compliance,Government digital policy,e-Government delivery,Human capital,AI sector maturity,AI technology diffusion,Societal transition,Safety and security,match_name,Country Name,Country Code,gdp_pc_ppp,gdp_year,log_gdp,resid
146,Guyana,25.47,15.5,35.62,39.29,19.69,12.27,31.02,20.0,12.5,2.08,56.49,48.3,45.25,33.33,10.0,29.39,16.07,5.1,18.04,43.38,18.67,Guyana,Guyana,GUY,97899.0116180627,2025.0,11.491691732635797,-53.783469297380066
92,Andorra,41.51,31.0,47.96,54.27,25.75,37.69,49.92,40.0,25.0,4.16,69.52,70.21,70.5,38.05,10.54,40.95,52.34,17.01,50.63,73.5,26.33,Andorra,Andorra,AND,79566.7925868466,2025.0,11.284352106232088,-50.182456477955036
140,Seychelles,27.24,8.0,43.75,39.66,26.98,11.77,25.67,20.0,0.0,2.08,59.8,69.38,45.75,33.56,0.87,53.1,22.49,2.37,13.6,40.34,11.0,Seychelles,Seychelles,SYC,35854.0281615068,2025.0,10.487211201263987,-48.08404263773517
121,Belarus,32.47,12.0,45.28,43.38,24.03,24.62,36.88,30.0,0.0,3.29,53.5,79.03,46.75,40.0,0.4,47.65,35.95,3.48,41.49,40.42,33.33,Belarus,Belarus,BLR,34715.9778689211,2025.0,10.454955317274623,-48.077840012574235
170,Saint Kitts and Nevis,20.85,11.5,33.72,29.62,5.43,12.84,27.99,10.0,12.5,0.0,55.44,45.73,38.75,20.48,3.27,7.6,17.95,5.1,18.04,46.98,9.0,St. Kitts and Nevis,St. Kitts and Nevis,KNA,36777.262691657,2025.0,10.512635071562103,-46.05938233643031
155,Barbados,23.33,15.5,34.85,40.75,6.22,14.03,25.16,20.0,12.5,0.0,54.95,49.59,41.5,40.0,0.0,12.44,22.58,4.63,18.04,46.98,3.33,Barbados,Barbados,BRB,25893.8676913012,2025.0,10.161761450977872,-44.149337068502746
143,Maldives,26.39,8.0,39.43,22.43,29.58,18.83,32.24,20.0,0.0,3.29,49.08,65.93,33.5,11.37,2.12,57.05,18.77,4.85,37.53,38.14,26.33,Maldives,Maldives,MDV,28554.8945669737,2025.0,10.259583638813165,-43.473513351549606
133,Gabon,28.41,16.0,35.19,51.25,16.48,20.37,27.58,40.0,0.0,2.08,47.05,56.44,62.5,40.0,0.0,32.97,25.28,3.25,38.3,35.49,19.67,Gabon,Gabon,GAB,22218.341068445,2025.0,10.008673401020557,-41.889255425895215
166,Saint Vincent and the Grenadines,21.5,11.5,32.59,16.99,25.27,13.01,26.16,10.0,12.5,0.0,50.16,47.61,33.5,0.48,3.27,47.27,18.51,5.1,18.04,45.31,7.0,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VCT,22799.4005332261,2025.0,10.034489522194518,-39.00038603383533
174,Dominica,19.76,4.0,34.5,9.53,25.13,12.89,23.17,10.0,0.0,0.0,57.3,46.19,5.25,13.82,3.27,47.0,18.13,5.1,18.04,46.33,0.0,Dominica,Dominica,DMA,22713.1288027433,2025.0,10.030698397637355,-38.94441660304782
181,Suriname,18.37,0.0,34.91,19.62,7.65,13.6,21.53,0.0,0.0,3.29,51.79,49.64,38.75,0.48,3.27,12.03,20.48,5.1,18.04,39.72,3.33,Suriname,Suriname,SUR,22652.3952637959,2025.0,10.028020876480888,-38.90488761032035
176,Grenada,19.36,0.0,32.42,19.62,20.45,12.02,22.44,0.0,0.0,0.0,49.34,47.91,38.75,0.48,3.27,37.64,15.23,5.1,18.04,44.88,0.0,Grenada,Grenada,GRD,21345.9653408221,2025.0,9.968618023787691,-38.02790670339886
151,Palau,23.8,4.0,41.48,5.53,22.37,20.0,38.46,10.0,0.0,0.0,59.22,65.21,9.52,1.54,4.51,40.22,14.61,13.3,34.33,61.39,15.53,Palau,Palau,PLW,23051.6787122681,2025.0,10.045493874938524,-37.92284636716928
187,Equatorial Guinea,16.18,0.0,28.09,18.86,2.85,12.67,27.29,0.0,0.0,2.08,30.53,51.67,37.5,0.23,0.87,4.83,23.86,3.25,14.03,29.91,24.67,Equatorial Guinea,Equatorial Guinea,GNQ,16133.1056143137,2025.0,9.688628689121732,-36.2943459481285
