iso3,country,Lack_Coping_Capacity,Hazard_Exposure,INFORM_Risk,Vulnerability,gdp,log_gdp
AFG,Afghanistan,7.1,8.7,8.1,8.5,2236.19907311431,7.7125328612217725
AGO,Angola,6.7,4.2,5.2,5.1,10251.3457063657,9.235164264374905
ALB,Albania,4.2,3.4,3.1,2.0,28220.7950617158,10.247814398706454
ARE,United Arab Emirates,1.8,2.5,1.7,1.0,79343.7793099888,11.281545327292157
ARG,Argentina,3.6,2.5,2.9,2.7,32586.6312086783,10.39165739762333
ARM,Armenia,4.5,2.0,2.9,2.8,24754.2118320452,10.116750928550838
ATG,Antigua and Barbuda,3.6,2.0,2.3,1.7,35832.4795485115,10.486610011044721
AUS,Australia,2.1,2.7,2.4,2.3,71934.4033931263,11.183509918742798
AUT,Austria,1.5,1.5,1.9,3.2,76777.5421537618,11.248667456499842
AZE,Azerbaijan,4.5,5.0,4.8,5.0,26112.5306828203,10.170170580888364
BDI,Burundi,6.7,4.1,5.6,6.4,1248.05425025467,7.129341017739935
BEL,Belgium,1.8,1.9,2.1,2.6,74675.607672673,11.22090878061629
BEN,Benin,6.6,2.5,4.3,4.8,4816.87504692826,8.479880666274727
BFA,Burkina Faso,6.4,6.9,7.0,7.9,3071.62546744866,8.029962168686719
BGD,Bangladesh,4.8,6.9,5.7,5.5,10153.7083791829,9.22559427529808
BGR,Bulgaria,3.1,1.8,2.7,3.6,44451.1001576913,10.70214499109001
BHR,Bahrain,2.8,0.9,1.4,1.0,70996.7821254802,11.170389832820037
BHS,"Bahamas, The",3.1,1.7,2.1,1.7,41257.7650774105,10.627594618347953
BIH,Bosnia and Herzegovina,5.0,1.5,3.1,3.8,25814.2641520511,10.158682492241635
BLR,Belarus,3.0,0.9,1.8,2.0,34715.9778689211,10.454955317274623
BLZ,Belize,5.0,2.1,3.6,4.4,14965.7521203147,9.613519677648314
BOL,Bolivia,5.3,2.4,3.6,3.7,12873.0394876629,9.462890441134375
BRA,Brazil,4.3,5.7,4.6,3.9,23433.2897595431,10.06191292964996
BRB,Barbados,2.6,2.2,2.0,1.5,25893.8676913012,10.161761450977872
BRN,Brunei Darussalam,3.5,1.3,2.4,2.9,92429.9262686398,11.434206082559054
BTN,Bhutan,4.0,1.5,2.8,3.7,19594.0028382994,9.882978820760114
BWA,Botswana,4.5,1.1,2.6,3.7,20697.9104661898,9.937788030495978
CAF,Central African Republic,8.8,8.1,8.7,9.1,1313.8765680523,7.1807372585990334
CAN,Canada,2.4,2.5,2.4,2.4,66745.8248561648,11.108647025334914
CHE,Switzerland,0.9,1.2,1.4,2.8,102513.347221899,11.537748285882143
CHL,Chile,2.7,3.3,3.2,3.6,37774.0879069903,10.539378641435546
CHN,China,3.2,5.5,3.0,1.6,29333.3311051433,10.286479728831207
CIV,Cote d'Ivoire,6.6,2.2,4.6,6.5,8208.90898574972,9.01297530515679
CMR,Cameroon,5.9,7.2,6.6,6.8,5787.85440270861,8.663516932408825
COD,"Congo, Dem. Rep.",8.0,7.2,7.7,7.9,1919.82250200565,7.5599880138762945
COG,"Congo, Rep.",7.5,3.0,5.0,5.7,7248.44439070757,8.888542158027017
COL,Colombia,3.5,6.7,5.2,6.1,22640.4224606513,10.027492192065786
COM,Comoros,7.1,1.1,3.3,4.8,4238.26133409182,8.351908401413104
CPV,Cabo Verde,3.7,0.9,2.4,3.9,12165.2989335356,9.406342828161542
CRI,Costa Rica,2.4,3.1,3.2,4.3,33814.7696296148,10.428652957317338
CYP,Cyprus,2.6,1.6,2.6,4.2,64574.62109375,11.075576750254221
CZE,Czechia,1.9,0.9,1.8,3.5,60487.2877495391,11.010188502098337
DEU,Germany,1.6,2.4,2.4,3.7,75406.6888111618,11.230651261084823
DJI,Djibouti,6.1,3.2,4.9,5.9,8451.96838146073,9.042154637775417
DMA,Dominica,4.1,2.1,3.0,3.1,22713.1288027433,10.030698397637355
DNK,Denmark,1.2,1.1,1.4,2.2,83218.071525634,11.329219809060474
DOM,Dominican Republic,4.2,4.0,4.1,4.2,28721.0964580217,10.265387199941138
DZA,Algeria,4.4,3.8,3.6,2.8,18586.2607480579,9.830177917291334
ECU,Ecuador,3.9,5.7,4.7,4.7,16756.6539631307,9.726550709899906
EGY,"Egypt, Arab Rep.",4.6,6.5,4.9,3.9,20204.0130500153,9.913636529500193
ERI,Eritrea,7.7,7.0,6.0,4.1,1742.32363018235,7.462974920973833
ESP,Spain,1.8,2.3,2.3,2.9,59867.6944716701,10.999892314269777
EST,Estonia,1.5,0.8,1.6,3.5,52105.5093433416,10.861025967704373
ETH,Ethiopia,6.7,7.2,7.0,7.2,3621.67487597821,8.19469187074186
FIN,Finland,1.3,1.3,1.5,2.2,65884.4876972259,11.09565830123729
FJI,Fiji,2.7,2.8,2.9,3.2,16337.5722970567,9.701222783144214
FRA,France,1.9,2.3,2.4,3.0,63975.353585864,11.066253187950801
FSM,"Micronesia, Fed. Sts.",5.1,1.7,3.2,3.8,4604.39540764468,8.434766649656316
GAB,Gabon,5.9,1.7,3.2,3.4,22218.341068445,10.008673401020557
GBR,United Kingdom,1.6,2.1,2.1,2.7,64606.4955066338,11.076070234354212
GEO,Georgia,3.2,2.6,3.5,5.0,29414.3813424216,10.289238995033239
GHA,Ghana,4.8,2.2,3.5,4.0,8610.2796922986,9.06071208148169
GIN,Guinea,6.9,2.8,4.5,4.7,4934.65125959855,8.504037282622555
GMB,"Gambia, The",5.4,1.5,3.6,5.8,3705.64184038599,8.21761175899804
GNB,Guinea-Bissau,7.9,1.4,3.9,5.4,3293.09532269486,8.099583229025386
GNQ,Equatorial Guinea,7.0,1.3,3.1,3.3,16133.1056143137,9.688628689121732
GRC,Greece,2.2,2.8,2.6,2.9,45263.6498511586,10.720259557808852
GRD,Grenada,3.7,1.4,2.2,2.1,21345.9653408221,9.968618023787691
GTM,Guatemala,5.3,4.1,5.1,6.1,15197.0831415082,9.628858789834492
GUY,Guyana,4.7,2.4,3.6,4.0,97899.0116180627,11.491691732635797
HND,Honduras,5.3,3.7,4.8,5.6,7871.09129065536,8.97095199643059
HRV,Croatia,3.0,2.4,2.4,2.0,50946.1671131832,10.838524807424276
HTI,Haiti,7.2,8.0,7.2,6.6,3133.72347930529,8.049977186510578
HUN,Hungary,2.0,1.7,1.9,2.1,49837.6008411067,10.816525015085741
IDN,Indonesia,4.4,6.7,4.6,3.3,17659.7921291587,9.77904570337286
IND,India,4.2,7.4,5.3,4.7,11747.9160436011,9.37143114585112
IRL,Ireland,1.6,1.2,1.7,2.4,155089.413131749,11.951757088496748
IRN,"Iran, Islamic Rep.",4.5,7.4,5.4,4.8,19699.2193549189,9.88833428728706
IRQ,Iraq,6.5,8.6,6.7,5.5,14266.7965348226,9.565690195768473
ISL,Iceland,2.0,1.3,1.6,1.6,83431.2131434311,11.331777776644186
ISR,Israel,1.9,2.0,1.8,1.6,59716.9735387228,10.997371572852614
ITA,Italy,2.1,2.9,2.5,2.6,62802.5108384276,11.047750333160675
JAM,Jamaica,3.6,2.9,2.9,2.3,13291.253767787,9.49486148644401
JOR,Jordan,4.2,2.1,3.8,6.2,12631.6299394746,9.443959260024613
