Ranking,Country,Total Score,Policy Capacity,AI Infrastructure,Governance,Public Sector Adoption,Development & Diffusion,Resilience
1,United States of America,88.36,92.5,91.77,82.5,92.87,88.16,78.28
7,Singapore,76.42,85.0,74.46,78.3,92.5,64.15,76.42
8,China,76.27,92.5,78.36,91.14,49.02,74.67,77.34
21,Estonia,69.56,96.0,54.29,90.0,99.63,46.01,64.38
27,India,66.55,96.0,63.31,64.03,79.07,54.85,59.46
74,Rwanda,48.54,73.0,33.92,78.75,53.62,29.36,55.62
75,Bangladesh,48.37,69.0,39.02,63.93,82.78,26.97,29.64
80,Sri Lanka,45.6,72.5,44.09,56.63,43.99,33.31,39.09
81,Pakistan,45.38,61.5,41.23,61.25,36.51,36.95,50.21
106,Nepal,38.5,49.5,38.05,57.24,32.88,22.5,48.94
