Ranking,Country,Total Score,Policy Capacity,AI Infrastructure,Governance,Public Sector Adoption,Development & Diffusion,Resilience,Policy vision,Policy commitment,Compute capacity,Enabling technical infrastructure,Data quality,Governance principles,Regulatory compliance,Government digital policy,e-Government delivery,Human capital,AI sector maturity,AI technology diffusion,Societal transition,Safety and security
1,United States of America,88.36,92.5,91.77,82.5,92.87,88.16,78.28,100.0,87.5,90.92,89.61,94.77,75.0,90.0,87.9,97.84,74.56,100.0,85.96,56.55,100.0
7,Singapore,76.42,85.0,74.46,78.3,92.5,64.15,76.42,100.0,75.0,41.99,86.39,95.01,75.0,81.6,93.92,91.08,85.17,44.31,69.59,52.85,100.0
8,China,76.27,92.5,78.36,91.14,49.02,74.67,77.34,100.0,87.5,80.66,69.2,85.21,100.0,82.28,41.65,56.39,81.43,67.29,77.74,54.69,100.0
21,Estonia,69.56,96.0,54.29,90.0,99.63,46.01,64.38,90.0,100.0,7.69,67.21,87.97,100.0,80.0,99.38,99.88,60.67,26.77,56.98,62.09,66.67
27,India,66.55,96.0,63.31,64.03,79.07,54.85,59.46,90.0,100.0,48.5,65.28,76.15,62.5,65.56,71.19,86.96,58.83,47.14,61.15,35.58,83.33
74,Rwanda,48.54,73.0,33.92,78.75,53.62,29.36,55.62,70.0,75.0,4.16,52.7,44.9,87.5,70.0,40.98,66.27,37.61,11.94,44.34,44.57,66.67
75,Bangladesh,48.37,69.0,39.02,63.93,82.78,26.97,29.64,60.0,75.0,8.31,60.06,48.7,56.5,71.37,72.12,93.44,35.12,5.44,47.53,25.94,33.33
80,Sri Lanka,45.6,72.5,44.09,56.63,43.99,33.31,39.09,50.0,87.5,3.29,62.44,66.53,73.25,40.0,24.25,63.73,46.1,17.08,42.16,35.18,43.0
81,Pakistan,45.38,61.5,41.23,61.25,36.51,36.95,50.21,60.0,62.5,9.99,56.2,57.49,62.5,60.0,13.92,59.1,51.25,17.91,48.02,33.75,66.67
106,Nepal,38.5,49.5,38.05,57.24,32.88,22.5,48.94,30.0,62.5,6.9,52.24,54.99,60.75,53.72,4.56,61.2,38.55,0.68,35.55,31.21,66.67
