Code,Indicator,Nepal_Score,Nepal_Rank,N_countries
IN.5.3.3,"ICT services imports, % total trade",2.24790762366286,136.0,139
OUT.6.3.3,"High-tech exports, % total trade",0.04213721220433,136.0,138
IN.5.3.1,"Intellectual property payments, % total trade",0.00617536595983704,130.0,139
OUT.6.2.3,"Software spending, % GDP",1.14035010821075,130.0,138
IN.2.1.5,"Pupil–teacher ratio, secondary",30.3260879761323,126.0,131
IN.5.3.4,"FDI net inflows, % GDP",37.9455027375832,124.0,138
IN.5.2.4,State of cluster development†,25.0980977345111,117.0,135
IN.2.2.1,"Tertiary enrolment, % gross",9.95844844404975,105.0,133
IN.5.2.2,University–industry R&D collaboration†,22.8789775511095,105.0,134
IN.5.1.2,"Females employed w/advanced degrees, %",9.01177246566921,102.0,125
IN.5.2.5,Patent families/bn PPP$ GDP,0.0,100.0,138
OUT.6.1.1,Patents by origin/bn PPP$ GDP,4.32107860026628,98.0,137
IN.5.2.3,"University industry & international engagement, top 5*",10.7954545454545,92.0,104
OUT.6.2.4,"High-tech manufacturing, %",10.0771133783826,91.0,112
IN.5.1.1,"Knowledge-intensive employment, %",16.9862134475963,91.0,122
OUT.6.1.5,Citable documents H-index,8.57142857142857,87.0,139
IN.2.1.2,"Government funding/pupil, secondary, % GDP/cap",7.52479363376968,87.0,94
OUT.6.1.4,Scientific and technical articles/bn PPP$ GDP,16.2882144678397,83.0,139
IN.2.3.4,"QS university ranking, top 3*",0.0,80.0,139
IN.2.1.1,"Expenditure on education, % GDP",39.8952015133386,79.0,136
IN.2.1.3,"School life expectancy, years",49.4003593770022,77.0,125
OUT.6.3.4,"ICT services exports, % total trade",10.2012865479505,77.0,139
OUT.6.3.5,ISO 9001 quality/bn PPP$ GDP,10.5019806022703,71.0,139
OUT.6.3.2,Production and export complexity,45.5090941166323,69.0,129
OUT.6.3.1,"Intellectual property receipts, % total trade",4.24883054877832,61.0,139
OUT.6.2.1,"Labor productivity growth, %",52.4565907048272,56.0,137
IN.5.2.1,"Public research–industry co-publications, %",17.7517201370334,54.0,139
OUT.6.2.2,"Unicorn valuation, % GDP",0.0,53.0,139
IN.2.3.3,"Global corporate R&D investors, top 3, mn USD",0.0,44.0,138
IN.5.1.3,"Youth demographic dividend, %",60.6804794149808,38.0,139
IN.5.3.2,"High-tech imports, % total trade",33.5092548140812,33.0,138
IN.2.1.4,"PISA scales in reading, maths and science",,,86
IN.2.2.2,"Graduates in science and engineering, %",,,119
IN.2.2.3,"Tertiary inbound mobility, %",,,117
IN.2.3.1,"Researchers, FTE/mn pop.",,,109
IN.2.3.2,"Gross expenditure on R&D, % GDP",,,115
IN.5.1.4,"GERD performed by business, % GDP",,,88
IN.5.1.5,"GERD financed by business, %",,,96
IN.5.3.5,"Research talent, % in businesses",,,83
OUT.6.1.2,PCT patents by inventor origin/bn PPP$ GDP,,,125
OUT.6.1.3,Utility models by origin/bn PPP$ GDP,,,86
