Code,Indicator,n,income_corr_r,income_corr_p,Nepal_residual,Nepal_percentile
IN.2.1.5,"Pupil–teacher ratio, secondary",131,0.687329792034654,1.2373380940277442e-19,-28.291020122881108,4.580152671755726
IN.5.3.4,"FDI net inflows, % GDP",138,-0.007466205995787485,0.9307418735734726,-9.521939833993386,10.869565217391305
IN.2.1.2,"Government funding/pupil, secondary, % GDP/cap",94,0.2387235379466844,0.020495464821565775,-16.273540932244174,15.957446808510639
IN.5.3.3,"ICT services imports, % total trade",139,0.27481879472991977,0.0010600493421797513,-12.94076452532755,17.985611510791365
IN.5.1.3,"Youth demographic dividend, %",139,-0.881455307003869,1.7801317012366343e-46,-11.319644381921925,19.424460431654676
IN.5.3.1,"Intellectual property payments, % total trade",139,0.41296269809263675,4.3687947015952517e-07,-8.352063292413892,23.02158273381295
IN.5.2.4,State of cluster development†,135,0.5395711012847034,1.4522163898050407e-11,-9.822666019387256,32.59259259259259
OUT.6.2.3,"Software spending, % GDP",138,0.5526941533687665,2.0890783827067187e-12,-6.378297647011539,37.68115942028985
IN.5.1.2,"Females employed w/advanced degrees, %",125,0.8412696306342567,1.1886593595612062e-34,-5.070266021169985,42.400000000000006
IN.2.2.1,"Tertiary enrolment, % gross",133,0.776205170813907,5.097397423848121e-28,-2.001592154765035,44.3609022556391
IN.5.2.2,University–industry R&D collaboration†,134,0.5540181111736955,3.8133532569659064e-12,-1.9254193519230114,45.5223880597015
OUT.6.2.4,"High-tech manufacturing, %",112,0.5401550853590442,7.915007601832793e-10,-2.420247923638689,49.10714285714286
IN.2.3.4,"QS university ranking, top 3*",139,0.6070299737325615,2.3476804719341957e-15,-2.339393811711574,49.64028776978417
OUT.6.3.3,"High-tech exports, % total trade",138,0.4160758801877774,3.867175460603442e-07,-4.18097912481509,50.0
IN.2.1.1,"Expenditure on education, % GDP",136,0.1768652891449021,0.03941616397228501,0.1892189362781167,52.94117647058824
IN.2.3.3,"Global corporate R&D investors, top 3, mn USD",138,0.5593275130724331,9.992367459102686e-13,0.45441763977134997,54.34782608695652
OUT.6.1.1,Patents by origin/bn PPP$ GDP,137,0.5112145096936768,1.7330815259529116e-10,-1.2574676254878296,56.2043795620438
IN.5.2.3,"University industry & international engagement, top 5*",104,0.6648979650628702,1.391546154140838e-14,3.795833814735115,57.69230769230769
OUT.6.2.2,"Unicorn valuation, % GDP",139,0.3374924959684706,4.846494567191753e-05,-3.54436211791527,58.99280575539568
OUT.6.2.1,"Labor productivity growth, %",137,-0.0037522314439085605,0.9652898252588973,2.502017475836105,59.85401459854015
OUT.6.3.4,"ICT services exports, % total trade",139,0.28874774328016245,0.0005662758765751377,-2.025235737203646,61.15107913669065
OUT.6.1.4,Scientific and technical articles/bn PPP$ GDP,139,0.48315427269051836,1.7000671983461721e-09,2.3023370235864675,61.8705035971223
IN.5.1.1,"Knowledge-intensive employment, %",122,0.8719758929641082,4.95844605201305e-39,3.9914487679520505,63.9344262295082
OUT.6.1.5,Citable documents H-index,139,0.560206379251336,7.47094911135218e-13,2.894649732705844,66.18705035971223
IN.5.2.5,Patent families/bn PPP$ GDP,138,0.4956657310986899,6.36217809237641e-10,1.0075802338257844,67.3913043478261
OUT.6.3.5,ISO 9001 quality/bn PPP$ GDP,139,0.4638577187805916,8.871937137687715e-09,3.358252903628731,73.38129496402877
OUT.6.3.1,"Intellectual property receipts, % total trade",139,0.5454408399899462,3.8368887806036005e-12,5.15672574184534,74.82014388489208
OUT.6.3.2,Production and export complexity,129,0.7124433525897916,2.8628017804146248e-21,13.269843050516783,79.84496124031008
IN.5.2.1,"Public research–industry co-publications, %",139,0.5437080649373729,4.625013664352647e-12,10.987270830334449,79.85611510791367
IN.5.3.2,"High-tech imports, % total trade",138,0.21166360025708109,0.012696467242875775,10.175010776520736,82.6086956521739
IN.2.1.3,"School life expectancy, years",125,0.8179728122067985,2.5390310002916257e-31,16.8496165973286,93.60000000000001
